prefecture,lat,lon,coord
扬州市,32.408505254568446,119.42777755116975,"32.408505,119.42777"
枣庄市,34.80788307838604,117.27930538329687,"34.807883,117.27930"
玉树藏族自治州,33.00623990972234,97.0133161374136,"33.006239,97.013316"
泰州市,32.47605327483028,119.91960601619071,"32.476053,119.91960"
绍兴市,30.002364580528468,120.59246738555154,"30.002364,120.59246"
白城市,45.621086275218886,122.84077667910013,"45.621086,122.84077"
东营市,37.48712115527602,118.58392633307061,"37.487121,118.58392"
白银市,36.54668170616305,104.17124090373699,"36.546681,104.17124"
攀枝花市,26.58757125710865,101.72242315249031,"26.587571,101.72242"
茂名市,21.66822571882161,110.93124533067585,"21.668225,110.93124"
固原市,36.021523480709256,106.28526799598251,"36.021523,106.28526"
荆门市,31.042611202948642,112.21733029896677,"31.042611,112.21733"
湖州市,30.87792515569089,120.13724316328172,"30.877925,120.13724"
贵港市,23.103373164408808,109.61370755657885,"23.103373,109.61370"
德宏傣族景颇族自治州,24.44123966300797,98.58943428740686,"24.441239,98.589434"
海南藏族自治州,36.284363803805,100.62406609409719,"36.284363,100.62406"
揭阳市,23.547999466926136,116.37950085538245,"23.547999,116.37950"
湘潭市,27.835095052978787,112.93555563303437,"27.835095,112.93555"
娄底市,27.741073302349072,111.99639635657,"27.741073,111.99639"
佛山市,23.035094840514393,113.13402563539341,"23.035094,113.13402"
保山市,25.120489196190352,99.1779956132782,"25.120489,99.177995"
海西蒙古族藏族自治州,37.373799070589904,97.34262541533312,"37.373799,97.342625"
宿州市,33.63677238578078,116.98869241183071,"33.636772,116.98869"
漯河市,33.57627868848315,114.04606140022908,"33.576278,114.04606"
阳泉市,37.86952949322259,113.56923760163296,"37.869529,113.56923"
惠州市,23.113539852408422,114.41065807997101,"23.113539,114.41065"
吴忠市,37.99356100293566,106.20825419850945,"37.993561,106.20825"
松原市,45.13604897008401,124.83299453234116,"45.136048,124.83299"
鹤壁市,35.75542587422399,114.29776983802476,"35.755425,114.29776"
巴中市,31.869189159159983,106.7579158417544,"31.869189,106.75791"
萍乡市,27.639544222952303,113.85991703300718,"27.639544,113.85991"
云浮市,22.937975685537467,112.0509459586454,"22.937975,112.05094"
贺州市,24.411053547112807,111.55259417883673,"24.411053,111.55259"
莆田市,25.448450136734266,119.07773096395962,"25.448450,119.07773"
内江市,29.599461534774647,105.07305599171472,"29.599461,105.07305"
宿迁市,33.95204973370865,118.29689337855335,"33.952049,118.29689"
丽江市,26.875351089481363,100.22962839887936,"26.875351,100.22962"
遂宁市,30.557491350379962,105.56488779226322,"30.557491,105.56488"
海北藏族自治州,36.96065410108381,100.8798021744774,"36.960654,100.87980"
克拉玛依市,45.594331066706225,84.88118018614405,"45.594331,84.881180"
铜陵市,30.940929694665666,117.81942872880636,"30.940929,117.81942"
博尔塔拉蒙古自治州,44.9136513742982,82.05243626722445,"44.913651,82.052436"
北海市,21.472718235009687,109.12262791919323,"21.472718,109.12262"
池州市,30.660019248160623,117.49447677159357,"30.660019,117.49447"
铜川市,34.90836769638356,108.96806701340066,"34.908367,108.96806"
威海市,37.52878708125143,122.09395836580605,"37.528787,122.09395"
防城港市,21.617398470471805,108.35179115286086,"21.617398,108.35179"
怒江傈僳族自治州,25.860676978165355,98.85993204248207,"25.860676,98.859932"
六盘水市,26.59186606031868,104.85208676006857,"26.591866,104.85208"
海口市,20.022071276952246,110.33080184833628,"20.022071,110.33080"
钦州市,21.97335046531273,108.6387980564235,"21.973350,108.63879"
张家界市,29.1248893532198,110.4816201569677,"29.124889,110.48162"
汕尾市,22.77873050016389,115.37292428939979,"22.778730,115.37292"
阳江市,21.871517304518765,111.97700975587392,"21.871517,111.97700"
克孜勒苏柯尔克孜自治州,39.75034557784509,76.13756447746248,"39.750345,76.137564"
日照市,35.42022519314436,119.50717994299387,"35.420225,119.50717"
盘锦市,41.141248022956155,122.07322781023008,"41.141248,122.07322"
亳州市,33.87121056530193,115.78792824511814,"33.871210,115.78792"
淮北市,33.960023305364125,116.79144742863005,"33.960023,116.79144"
舟山市,30.036010302553937,122.16987209835159,"30.036010,122.16987"
三亚市,18.257775914897486,109.52277128135886,"18.257775,109.52277"
武威市,37.933172142905626,102.6401473433678,"37.933172,102.64014"
七台河市,45.77500536864039,131.0190480471218,"45.775005,131.01904"
黄南藏族自治州,35.52285155172832,102.00760030834483,"35.522851,102.00760"
景德镇市,29.30356276844829,117.18652262527252,"29.303562,117.18652"
辽源市,42.92330261905367,125.13368605218399,"42.923302,125.13368"
迪庆藏族自治州,27.831029461167326,99.7136815988831,"27.831029,99.713681"
鄂州市,30.38443932275225,114.89559404135665,"30.384439,114.89559"
珠海市,22.256914646125736,113.56244702618991,"22.256914,113.56244"
哈密市,42.344467104552436,93.52937301238876,"42.344467,93.529373"
吐鲁番市,42.67892482079368,89.26602548864244,"42.678924,89.266025"
石嘴山市,39.02022328360303,106.37933720152914,"39.020223,106.37933"
鹰潭市,28.241309597181967,117.03545018601244,"28.241309,117.03545"
阿拉善盟,38.84307526440767,105.69568287112705,"38.843075,105.69568"
西双版纳傣族自治州,22.009433002236147,100.80303827521057,"22.009433,100.80303"
中卫市,37.521124191594545,105.1967541993552,"37.521124,105.19675"
潮州市,23.661811676516503,116.63007599086392,"23.661811,116.63007"
大兴安岭地区,51.991788968014404,124.19610419017351,"51.991788,124.19610"
乌海市,39.68317700678524,106.83199909716231,"39.683177,106.83199"
随州市,31.717857608188574,113.37935836429192,"31.717857,113.37935"
资阳市,30.13219143395195,104.6359303016738,"30.132191,104.63593"
莱芜市,36.23365413364694,117.6846669124716,"36.233654,117.68466"
金昌市,38.516071799531744,102.20812626259014,"38.516071,102.20812"
新余市,27.82232155862896,114.94711741678921,"27.822321,114.94711"
中山市,22.545177514513,113.42206002079806,"22.545177,113.42206"
三沙市,12.46471292065341,113.75535610384998,"12.464712,113.75535"
儋州市,19.57478779859743,109.334586198865,"19.574787,109.33458"
东莞市,23.043023815368237,113.76343399075657,"23.043023,113.76343"
嘉峪关市,39.802397326733534,98.281634585257,"39.802397,98.281634"
